equipment_type,category,loss_type,link_type,date,manually_changed,link
T-54-3M,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/zBC4NPVv/1032-unkn-t55-destr-18-02-24.jpg
T-54-3M,Tanks,damaged and abandoned,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/s29RHpfN/1036-T-54-3-M-dam-aband-21-02-24.jpg
T-54B,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/02ZtkYNd/1020-T-54-B-destr-05-03-24.jpg
T-54B,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/Z5SDNYNS/1103-T-54-B-destr-17-08-24.jpg
T-55A,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/rsGYFggv/1009-T-55-A-destr-09-05-24.jpg
T-55A,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/Hkqzt6TN/1011-T-55-A-destr-21-08-25.jpg
T-55A,Tanks,damaged,postimg,05-08-2023,False,https://i.postimg.cc/jdFBJdQb/1027-t55-dam-05-08-23.jpg
T-55A Obr. 1981,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/d0yGQ3Qk/1018-T-55-A-Obr-1981-destr-15-09-24.jpg
Unknown T-54/55,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/3RPYPYV5/1006-unkn-t55-destr-28-03-24.jpg
Unknown T-54/55,Tanks,destroyed,postimg,NO_DATE_FOUND,False,https://i.postimg.cc/ZYFMJhb0/1045-T-54-or-55-destr-27-06-24.jpg
Unknown T-54/55,Tanks,destroyed,postimg,,False,https://i.postimg.cc/sD6gn73J/1120-T-54-or-55-destr-28-02-25.jpg
Unknown T-54/55,Tanks,destroyed,postimg,,False,https://i.postimg.cc/6QwLcbny/1011-T-54-or-55-destr-02-08-25.jpg
Unknown T-54/55,Tanks,damaged and abandoned,postimg,,False,https://i.postimg.cc/pTqMF7mQ/1081-unkn-t54-55-dam-aband-17-02-24.jpg
Unknown T-54/55,Tanks,damaged and abandoned,postimg,,False,https://i.postimg.cc/KjbMBZLR/1106-unkn-t54-55-dam-aband-31-03-24.jpg
T-62 Obr. 1967,Tanks,destroyed,postimg,,False,https://i.postimg.cc/65Tqk5t6/1021-T-62-Obr-1967-destr-11-02-24.jpg
T-62 Obr. 1967,Tanks,destroyed,postimg,,False,https://i.postimg.cc/52vJB77X/1014-t62-obr1967.jpg
T-62 Obr. 1967,Tanks,destroyed,postimg,,False,https://i.postimg.cc/26dvvtZC/1020-T-62-Obr-1967-destr-29-09-24.jpg
T-62 Obr. 1967,Tanks,destroyed,postimg,,False,https://i.postimg.cc/xT6m6jRd/1023-T-62-M-destr-09-10-24.jpg
T-62 Obr. 1967,Tanks,captured,postimg,,False,https://i.postimg.cc/yxw0SFD6/1001-T-62-Obr-1967-capt.jpg
T-62 Obr. 1972,Tanks,destroyed,postimg,,False,https://i.postimg.cc/zfqr10Kw/1044-t62-obr1967-destr-01-03-24.jpg
T-62 Obr. 1972,Tanks,abandoned,postimg,,False,https://i.postimg.cc/4N95JpPv/1035-T-62-Obr-1972-aband-10-12-23.jpg
T-62 Obr. 1975,Tanks,destroyed,postimg,,False,https://i.postimg.cc/8PCPzN7x/1065-T-62-Obr-1975-destr-30-10-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/X72RXDmM/1024-t62m-destr-11-01-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/fy6S2qj0/1010-2x-t62m-destr.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/2yRMkB97/55h.png
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/gkKRT9Sn/1014-t62m-destr-16-11-22.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/cLQ5SJcX/1005-t62m-destr-08-01-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Dy4Mx64V/1038-t62m-destr-07-01-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/N0DghMNG/1005-t62m-destr-27-01-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/NFFTSxhD/1025-t62m-destr-20-03-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/KvkckFr1/1011-T-62-M-destr-26-05-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/3Js826nn/1012-T-62-M-destr-26-05-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Gmr6pZ4Y/1001-t62m-destr-01-06-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Dw3GQ3mg/1026-T-62-M-destr-09-11-22.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/QC5sJ3t7/1074-T-62-M-destr-01-04-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/PxJhBdpT/46.png
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Dy4T0m9T/1045-T-62-M-destr-02-10-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Hsm7xWy2/1011-t62m-destr-29-11-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/qMV8j4c4/1039-t62m-destr-09-01-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Jng1mWHk/1021-T-62-M-destr-29-01-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/mgGgtRX3/1022-T-62-M-destr-29-01-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/jSQdf9mp/1023-T-62-M-destr-29-01-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Jz37Mw8R/1037-t62m-destr-12-02-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/q7Znqz75/1026-1x-destr-2x-dam-aband-T62-M-06-02-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/QCz881h8/1020-T-62-M-destr-11-02-23.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/kgtWhdNy/1054-t62m-destr-18-04-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/bwjW4qxb/1111-T-62-M-destr-22-04-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/3RSGbCC9/1004-T-62-M-destr-21-04-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/sxbh3jLh/1023-T-62-M-destr-30-11-22.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/j2S2L1rj/1064-unkn-t62-destr-14-05-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/25gfXBQ5/1051-T-62-M-destr-02-06-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/PJjndsFs/1052-T-62-M-destr-02-06-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/6Q3S3HG4/1077-T-62-M-destr-08-06-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/LXFkb3Jk/1062-T-62-M-destr-12-06-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/d1nw7hWn/1002-T-62-M-destr-15-06-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/sx8NkBbd/1101-t62m-destr-01-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/C1PgyV8J/1100-t62m-destr-11-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/kgwGMGkv/1016-T-62-M-destr-07-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/c4QwLvFh/1057-T-62-M-destr-29-02-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Bbf3mFRh/1002-T-62-M-destr-13-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/hv7j6SPq/1027-T-62-M-destr-19-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/76hb13Fh/1019-t62m-destr-17-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/4xZ1v2Kz/1100-t62m-destr-23-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/NFkZb9xD/1010-T-62-M-destr-23-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/BZFSHmfZ/1009-T-62-M-destr-23-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/KvyZNtmP/1015-T-62-M-destr-23-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/Vs76jzB7/1059-T-62-M-destr-05-01-25.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/sxx8GncF/1051-T-62-M-destr-26-07-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/8C8mLjDW/1025-T-62-M-destr-06-08-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/bYnvM782/1023-T-62-M-destr-21-08-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/brRZDFKF/1108-unkn-t62-destr-13-06-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/CL6ss7Td/1049-T-62-M-destr-22-09-24.jpg
T-62M,Tanks,destroyed,postimg,,False,https://i.postimg.cc/8Ps3sxVB/1004-T-62-M-destr-25-09-24.jpg
