equipment_type,category,loss_type,link_type,link,date,manually_changed
P-14 'Tall King',Radars And Communications Equipment,damaged,postimg,https://i.postimg.cc/rpWmrPLb/57.png,24-02-2022,False
P-18 'Spoon Rest D',Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/05C9PWrs/3270.png,02-05-2022,False
P-18 'Malakhit',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/65HZYY3X/39.png,23-08-2023,False
P-18 'Malakhit',Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/0yLgprHM/470.png,17-04-2022,False
Support vehicle (for 1RL131 P-18 'Terek' early warning radar),Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/gjmtgKPy/470.png,02-05-2022,False
P-19 'Flat Face B',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/G2SG2d2W/578.png,25-02-2022,False
P-35/37 'Bar Lock',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/WpShQwBk/5547.png,24-02-2022,False
PRV-11 'Side Net',Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/kG7k6sVR/47.png,02-05-2022,False
PRV-13 'Odd Pair',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/pXwx79Lj/557.png,24-02-2022,False
PRV-13 'Odd Pair',Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/K8PQrnB2/360.png,05-09-2022,False
1L22 'Parol',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/SRjk0C96/6659.png,24-02-2022,False
1L22 'Parol',Radars And Communications Equipment,damaged,postimg,https://postimg.cc/9Dcvz02c,24-02-2022,False
1L22 'Parol',Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/jqHGyDrQ/390.png,02-05-2022,False
36D6 'Tin Shield',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/m2kp8gCH/4fj.png,25-02-2022,False
36D6 'Tin Shield',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/QM6YtDQ5/57.png,02-05-2022,False
36D6 'Tin Shield',Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/PJzGKLv0/2002.jpg,23-07-2022,False
36D6 'Tin Shield',Radars And Communications Equipment,captured,postimg,https://i.postimg.cc/Yqssmzzz/5549.png,30-03-2022,False
5N63S 'Flap Lid B' (for S-300PS),Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/HL6xTdWb/776.jpg,07-04-2022,False
5N63S 'Flap Lid B' (for S-300PS),Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/J4bbwxcQ/431.png,04-04-2022,False
5N63S 'Flap Lid B' (for S-300PS),Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/vHQBPwXb/43g.png,04-04-2022,False
5N63S 'Flap Lid B' (for S-300PS),Radars And Communications Equipment,destroyed,postimg,https://i.postimg.cc/1t8xmKF8/448.png,18-08-2022,False
